Time_Index,natgas_fossil_CA,natgas_fossil_NW,natgas_fossil_SW,natgas_fossil_TX,natgas_fossil_NCEN,natgas_fossil_CEN,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_global,jetfuel_fossil_global,diesel_fossil_global,ethane_global,ethane_high
1,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
2,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
3,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
4,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
5,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
6,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
7,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
8,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
9,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
10,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
11,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
12,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
13,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
14,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
15,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
16,19.47915458,18.18130007,16.02423696,13.32611082,16.58157275,14.13177481,16.18515678,18.03837278,21.07949687,2.490863989,69.57358456,70.56310587,92.81027464,22.54330048,1000000000
